NAME,R_T,ResTime,B2A_ratio,NB_Yield,DNB_Yield,CO2e,TOTALCOST
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,DATA
213,95,0.000649069,0.449172522,4.170131098,1.37E-06,10.295885,6540.27905
214,95,0.000589802,0.393025957,3.92220313,1.21E-06,10.3103051,7058.32788
215,95,0.000540405,0.349356406,3.679814455,1.06E-06,10.3146056,7565.50496
216,95,0.000498613,0.314420766,3.44721752,9.32E-07,10.2873605,8061.92944
217,95,0.005599756,0.786051914,18.6026953,3.32E-05,10.5246818,4225.84137
218,95,0.004897822,0.628841531,18.94575558,3.44E-05,10.6478764,4768.41365
219,95,0.004349917,0.524034609,18.77610545,3.37E-05,10.7363726,5320.07198
220,95,0.003911135,0.449172522,18.31426379,3.18E-05,10.7922987,5870.26913
221,95,0.00355218,0.393025957,17.68714761,2.95E-05,10.8099749,6413.25204
222,95,0.003253256,0.349356406,16.96683615,2.70E-05,10.782994,6947.86463
223,95,0.003000555,0.314420766,16.20240361,2.45E-05,10.7568563,7474.3914
224,95,0.010298628,0.786051914,25.82834711,7.11E-05,9.80608181,3893.44447
225,95,0.009006147,0.628841531,26.93504183,7.84E-05,10.9781014,4278.69457
226,95,0.007996868,0.524034609,27.2049518,8.02E-05,11.0905032,4845.5669
227,95,0.00718855,0.449172522,26.95866125,7.86E-05,11.1581371,5404.7202
228,95,0.006527366,0.393025957,26.39136875,7.50E-05,11.1856298,5957.98871
229,95,0.005976868,0.349356406,25.61951596,7.03E-05,11.1586348,6503.71936
230,95,0.005511605,0.314420766,24.7253874,6.51E-05,11.1235207,7041.43168
231,95,0.015009681,0.786051914,30.51236279,0.000106793,10.9931143,4393.1716
232,95,0.013125456,0.628841531,32.30101693,0.000122942,11.2011621,4627.57373
233,95,0.011653416,0.524034609,33.01501329,0.000129999,11.3379348,4761.793
234,95,0.010474259,0.449172522,33.04125439,0.00013062,11.4649808,5013.31729
235,95,0.009509706,0.393025957,32.62338918,0.000127112,11.506691,5598.05149
236,95,0.008706666,0.349356406,31.9100732,0.000121157,11.4900268,6158.68826
237,95,0.008028028,0.314420766,31.00780187,0.000113877,11.4533631,6706.77705
238,95,0.019727933,0.786051914,33.87763901,0.000139216,11.1647435,4672.71818
239,95,0.017251539,0.628841531,36.25356789,0.000165773,11.4189195,4955.66403
240,95,0.015316043,0.524034609,37.36842197,0.000179806,11.5880452,5145.86543
241,95,0.013765323,0.449172522,37.65803415,0.000184246,11.6893338,5261.74553
242,95,0.012496737,0.393025957,37.40402929,0.000182122,11.7348675,5273.64232
243,95,0.011440575,0.349356406,36.78072287,0.000175825,11.7200811,5853.9302
244,95,0.010548064,0.314420766,35.91366752,0.000167057,11.740328,6427.79382
245,95,0.024450993,0.786051914,36.44876177,0.000168476,11.3083,4884.32558
246,95,0.021382299,0.628841531,39.33335515,0.000206319,11.6075855,5202.34187
247,95,0.018982949,0.524034609,40.80380107,0.000228562,11.811621,5424.48692
248,95,0.017060198,0.449172522,41.33398998,0.000238021,11.932987,5576.09
249,95,0.015487132,0.393025957,41.23760341,0.000238297,11.9927676,5668.3973
250,95,0.014177452,0.349356406,40.71674791,0.000232458,12.0028974,5680.74284
251,95,0.013070726,0.314420766,39.89427788,0.000222789,11.9508085,6169.39393
